기준연도,학교종류,설립구분,지역,상태,학교,재학생수(A),총 실수,수용가능인원(B),실수용(내국인),실수용(외국인),실수용(비학위)외국인,지원자수(동일지역),지원자수(타지역),의무식여부,구분,건물명,준공연도,1인실실수,1인실식비,1인실기숙사비,2인실실수,2인실식비,2인실기숙사비,3인실실수,3인실식비,3인실기숙사비,4인실실수,4인실식비,4인실기숙사비,기숙사수용률,지원자수합계,입사경쟁률,준공구분
2021,대학교,사립,경남,기존,가야대학교(김해),2060.0,88.0,672.0,197.0,4.0,0.0,136.0,202.0,O,직영(구내),여자 기숙사,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,3500.0,131250.0,32.62135922330097,338.0,0.5029761904761905,11~20년이하
2021,대학교,사립,경남,기존,가야대학교(김해),2060.0,80.0,672.0,183.0,10.0,0.0,97.0,196.0,O,직영(구내),군자관,2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,3500.0,128571.0,32.62135922330097,293.0,0.43601190476190477,11~20년이하
2021,대학교,사립,경기,기존,가천대학교,20671.0,98.0,2383.0,140.0,0.0,0.0,0.0,140.0,X,직영(구외),의과대학 기숙사,2019,2.0,0.0,428571.0,96.0,0.0,326786.0,0.0,0.0,0.0,0.0,0.0,0.0,11.52822795220357,140.0,0.058749475451112046,10년이하
2021,대학교,사립,경기,기존,가천대학교,20671.0,140.0,2383.0,339.0,3.0,0.0,1.0,665.0,X,직영(구내),보건과학대학학생생활관,2015,2.0,0.0,424779.0,68.0,0.0,292035.0,61.0,0.0,207080.0,9.0,0.0,169912.0,11.52822795220357,666.0,0.2794796475031473,10년이하
2021,대학교,사립,경기,기존,가천대학교,20671.0,393.0,2383.0,843.0,0.0,0.0,0.0,2153.0,X,직영(구내),제2학생생활관,2017,4.0,0.0,482737.0,288.0,0.0,343790.0,0.0,0.0,0.0,101.0,0.0,210105.0,11.52822795220357,2153.0,0.9034830046160303,10년이하
2021,대학교,사립,경기,기존,가천대학교,20671.0,184.0,2383.0,3.0,94.0,44.0,0.0,264.0,X,직영(구내),제1학생생활관,2007,10.0,0.0,466947.0,35.0,0.0,328000.0,0.0,0.0,0.0,139.0,0.0,199579.0,11.52822795220357,264.0,0.11078472513638271,11~20년이하
2021,대학교,사립,경기,기존,가천대학교,20671.0,44.0,2383.0,0.0,0.0,0.0,0.0,0.0,X,직영(구내),강화기숙사,1998,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,11.52822795220357,0.0,0.0,20년초과
2021,대학교,사립,경기,기존,가천대학교,20671.0,40.0,2383.0,25.0,3.0,4.0,3.0,29.0,X,직영(구외),송도BRC학생생활관,2013,0.0,0.0,0.0,40.0,0.0,223009.0,0.0,0.0,0.0,0.0,0.0,0.0,11.52822795220357,32.0,0.013428451531682753,10년이하
2021,대학교,사립,강원,기존,가톨릭관동대학교,7561.0,57.0,2602.0,0.0,0.0,0.0,0.0,0.0,X,직영(구내),제4생활관,1980,0.0,0.0,0.0,37.0,0.0,143297.0,20.0,0.0,143297.0,0.0,0.0,0.0,34.41343737600847,0.0,0.0,20년초과
2021,대학교,사립,강원,기존,가톨릭관동대학교,7561.0,108.0,2602.0,0.0,0.0,0.0,0.0,0.0,X,직영(구내),제2생활관,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,155189.0,34.41343737600847,0.0,0.0,20년초과
